Name,Num,By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Kemba Walker,#15,2013-14 ,CHA,73,35.8,17.7,6.2,15.7,39.3,1.5,4.5,33.3,3.9,4.6,83.7,0.5,3.7,4.2,6.1,2.3,1.2,0.4,1.8,34.4,9,1,1.8
Kemba Walker,#15,2012-13 ,CHA,82,34.9,17.7,6.4,15.2,42.3,1.3,4.0,32.2,3.6,4.5,79.8,0.7,2.7,3.5,5.7,2.4,2.0,0.4,1.9,35.1,5,0,-5.7
Kemba Walker,#15,2011-12 ,CHA,66,27.2,12.1,4.3,11.6,36.6,1.0,3.4,30.5,2.5,3.2,78.9,0.5,3.1,3.5,4.4,1.8,0.9,0.3,1.2,24.8,2,1,-7.6
Treveon Graham,#21,2017-18 ,CHA,63,16.7,4.3,1.5,3.5,43.4,0.6,1.5,41.2,0.7,0.9,69.5,0.7,1.3,1.9,0.9,0.4,0.5,0.0,1.7,9.3,0,0,-1.5
Treveon Graham,#21,2016-17 ,CHA,27,7.0,2.1,0.7,1.5,47.5,0.3,0.6,60.0,0.4,0.6,66.7,0.2,0.6,0.8,0.2,0.1,0.2,0.0,0.7,4.1,0,0,-1.4
Julyan Stone,#32,2017-18 ,CHA,23,7.6,0.8,0.3,0.6,46.2,0.3,0.6,46.2,0.0,0.1,50.0,0.0,1.2,1.3,1.1,0.3,0.2,0.1,0.9,4.5,0,0,1.7
Cody Zeller,#40,2017-18 ,CHA,33,19.0,7.1,2.6,4.7,54.5,0.1,0.1,66.7,1.8,2.6,71.8,2.0,3.3,5.4,0.9,1.0,0.4,0.6,2.5,17.1,1,0,0.7
Cody Zeller,#40,2016-17 ,CHA,62,27.8,10.3,4.1,7.1,57.1,0.0,0.0,0.0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1.0,1.0,0.9,3.0,25.3,6,0,3.4
Cody Zeller,#40,2015-16 ,CHA,73,24.3,8.7,3.2,6.0,52.9,0.0,0.1,10.0,2.4,3.2,75.4,1.9,4.3,6.2,1.0,0.9,0.8,0.9,2.8,21.7,5,0,2.2
Cody Zeller,#40,2014-15 ,CHA,62,24.0,7.6,2.8,6.0,46.1,0.0,0.0,100,2.0,2.6,77.4,1.6,4.3,5.8,1.6,1.0,0.5,0.8,2.5,20.1,2,0,0.3
